state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2010,620443937056,0,14331410,37500240,0,63040,0,6759576,12607
AL,2010,63050411199854,0,87042540,39235017276725,37940821,115332365453,0,152150512,0
AR,2010,2815244545179,0,3658962521,124690770,15022678,569591566984,0,61000185,0
AZ,2010,4364380766434,0,6622160209030,296759420,31199935,28411139826,15754,111750957,134916
CA,2010,21002211059289,12600098,33430870171265,1075223131694641,32200757,24507833550877,769331,204125596,6078632
CO,2010,3455929017482,0,1578264120792,110622750,0,579792205,42498,50720792,3451851
CT,2010,2604399408932,0,3906679492,1171567213936,16750304,739246414,0,33349623,0
DC,2010,199858,0,0,0,0,0,0,199858,0
DE,2010,256837056095,0,0,28649830,0,1356410,0,5627645,2556
FL,2010,598974339122497,0,1774740,1286342518075,23935922,23874162018868,80440,229095935,0
GA,2010,73298042640563,0,3321702277954,238844570,33512033,1270013053562,0,137576941,0
HI,2010,15455138087337,200595,704230,21915,0,2834749,1770,10836036,261120
IA,2010,41282937154297,0,9481680,13121950,4450640,1901460,0,57508721,9170337
ID,2010,8827874,71841,91542440,16892320,0,23582477841,0,12024564,440746
IL,2010,93611365109744,0,1185430,5723733160645,96189587,670260120,14145,201351872,4453634
IN,2010,112327658154555,0,4537120,64749862144140,0,3116230,0,125180739,2934043
KS,2010,32505053103110,0,132140,22873230,9555712,542860,0,47923762,3405065
KY,2010,910538582284852,0,25802460,18407082662,0,90803349071,0,98217658,0
LA,2010,239237493280844,0,11087940,513440791561160,18639347,743672393409,0,102884940,0
MA,2010,8305890295736,0,996339337069,255817520,5917813,1125326125412,928,42804824,22068
MD,2010,23668205322438,0,16673960,2896979214727,13993948,407403164688,80,43607264,1494
ME,2010,87193272300,0,38103810,83736060,0,2635083389577,0,17018660,499198
MI,2010,65604374382028,0,12505531022559,12249262299005,29624580,8023761669736,0,111551371,360340
MN,2010,2808255031056,0,8404100,43408470,13478046,915352932558,0,53670227,4791723
MO,2010,75047229125894,0,1539347887686,46898676990,8996033,61988119,0,92312989,925490
MS,2010,1362899781500,0,0,296189221635,9643241,9911503279,0,54487260,0
MT,2010,18600634408501,0,94146620,571121899,0,96924,0,29791181,930233
NC,2010,71951214293373,0,47565490,84472370,40739529,1953101876492,11340,128678483,0
ND,2010,2846204038220,0,20421180,1635335536,0,123870,0,34739542,4095641
NE,2010,2336277630849,0,13138560,3750350,11054337,715080,0,36630006,421645
NH,2010,308264371681,0,14775830,53648360,10910055,1267721029758,0,22195912,75688
NJ,2010,6417891235004,0,18119193772,24902230106408,32771305,8163170,21084,65682494,12653
NM,2010,2561778949869,0,2170100,85120830,0,136800,8930,36251542,1832182
NV,2010,699730211158,2069730,21572960,236881925652,0,0,216917,35146248,0
NY,2010,135827662004975,0,25471697529264,489155450,41869535,1671090547304,0,136961654,2596154
OH,2010,1178280091442424,0,4290240,7127859254099,15804803,275855398810,12848,143598337,12576
OK,2010,3147513718089,0,2808788152918,339416820,0,97043254829,0,72250733,3808083
OR,2010,41264353420,0,305422600,156511760,0,204932631941,0,55126999,3920007
PA,2010,110369292571345,0,2332201707779,33717608551509,77828348,1708356674878,7910,229752306,1854032
RI,2010,11659,0,37060,75832810,0,1369490,0,7738719,3124
SC,2010,37671118190727,0,2376444934701,109272370,51988079,1309971742067,0,104153133,0
SD,2010,32982566124,0,52388010,1347060,0,0,0,10049636,1371750
TN,2010,43670196216903,0,8137795721472,230238413462,27739221,33123913856,0,82348625,40570
TX,2010,150172832708481,0,12618320,1868822383290570,41335248,545136900074,8208,411695046,26251410
UT,2010,3405726550357,276949,6955120,645539636220,0,563380,0,42249355,447680
VA,2010,254592211292861,0,15001821490602,169991250,26571899,8153451404304,0,72966456,0
VT,2010,4509,0,13468870,37830,4782473,25081443366,0,6619990,13892
WA,2010,852693332476,0,6828838353328,10359235292019,9241133,1963701675915,0,103472729,4744679
WI,2010,40168733718302,0,21118520,549681418,13280939,507860877632,0,64314067,1088464
WV,2010,78147563154557,0,13673610,13960140075,0,0,0,80788947,939172
WY,2010,4298652356146,0,10238870,458983279065,0,0,0,48119254,3246793
