state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2009,6305921156882,0,13237440,35774030,0,65110,0,6702159,7027
AL,2009,55608724219274,0,125353730,31617083134728,39716204,144823035375,0,143255556,0
AR,2009,2507525088470,0,4192706100365,112214130,15169966,570501528501,0,57457739,0
AZ,2009,3970681762699,0,6427345169480,347391700,30661851,21990136641,14145,111971250,29545
CA,2009,20499471542848,12852783,27888036152849,1134634551622844,31763804,24676603732016,647390,204776132,5839813
CO,2009,3163602313453,0,1885724108658,138400250,0,56164388,25585,50565952,3163836
CT,2009,2453497298878,0,5095465385,98093510,16657382,758108622,0,31206222,0
DC,2009,35499,0,0,0,0,0,0,35499,0
DE,2009,2848171258366,0,0,1376401227137,0,1256110,0,4841563,0
FL,2009,540030729221017,0,2082020,1183223086800,29117877,23767371954125,9470,217952308,0
GA,2009,69478196649674,0,3259683271988,205057490,31682579,796002745569,0,128698376,0
HI,2009,15001668289107,167591,1126490,22345,0,2844270,1390,11010533,251427
IA,2009,3735143685251,0,9711650,11842170,4678931,167887194,0,51860063,7420520
ID,2009,8256541,75950,104342640,16435950,0,477948,0,13100152,313418
IL,2009,89966860112531,0,1363800,449472088374,95473920,709743461,16,193864357,2819532
IN,2009,108311698156757,0,5034700,38296581820065,0,3026440,0,116670280,1403192
KS,2009,32243043120761,0,127980,26688910,8768548,0,0,46677308,2863267
KY,2009,840375962016282,0,33176410,8784304314,0,100874262660,0,90630427,0
LA,2009,230671361857709,0,12363510,440032641226994,16782077,671862296773,0,90993676,0
MA,2009,9028110897078,0,1201076533636,209878360,5396021,1107875115384,43,38966651,5956
MD,2009,24162345329900,0,18887690,1767845269182,14550119,375722175057,0,43774832,0
ME,2009,72146433433,0,42116790,73553940,0,2728713366750,0,16349849,298623
MI,2009,66847683399249,0,1371926856864,8419551202510,21851009,8340121489001,0,101202605,300172
MN,2009,2932722665259,0,8090880,284648324112,12393425,887304796331,0,52491849,5053022
MO,2009,7161124087519,0,1816693566713,34162316532,10247116,733382090,0,88354272,499377
MS,2009,1295766216601,0,0,2326729924735,10998515,69601417319,0,48701484,0
MT,2009,15611279490433,0,95059400,777621447,0,94642,0,26712735,820924
NC,2009,65082782296859,0,517125743077,48518850,40847711,1314911757350,4563,118407403,0
ND,2009,2960696645016,0,14752510,1660643526,0,115720,0,34196467,2997530
NE,2009,2334978022869,0,4336900,3115810,9435142,661950,0,34001892,382634
NH,2009,2885668183081,0,16804920,53423570,8816673,151278984181,0,20164122,62477
NJ,2009,5099868278191,0,32081201714,20624990169730,34327954,9282060,10707,61811239,20918
NM,2009,2911730844613,0,2709630,86610730,0,336640,0,39674339,1546718
NV,2009,753993616184,1633213,24605950,258776212385,0,890,174309,37705133,0
NY,2009,127588732648306,0,27615106480387,417795970,43484614,1664816535853,0,133150550,2266339
OH,2009,1137119971311743,0,5277460,465045637477,15206084,209611409685,0,136090225,14114
OK,2009,340591079463,0,3552573116831,346312990,0,16301068064,0,75066809,2698199
OR,2009,31969027955,0,330335130,161334510,0,128332674381,0,56690856,3469714
PA,2009,105474534915087,0,2682866730511,29214955442504,77327686,1579336694242,3562,219496144,1074788
RI,2009,17131,0,47360,75303580,0,1446000,0,7696824,0
SC,2009,34477512523484,0,2332005976443,97801930,52149734,1372541610717,0,100125486,0
SD,2009,32173538320,0,44324510,803340,0,57750,0,8196531,420981
TN,2009,41633240186930,0,10211962649832,40932112010,26962001,36300862421,0,79716889,51747
TX,2009,1391065971404606,0,10286570,1890664833649305,41497617,429075649298,0,397167910,20026103
UT,2009,3552612636057,279121,8352570,644404227933,0,478780,0,43542946,159537
VA,2009,255992881087660,0,14786301334709,122013840,28212252,7092031708316,0,70082066,0
VT,2009,2439,0,14858250,44310,5360608,24190393266,0,7282348,11589
WA,2009,747777353604,0,7293270452383,11971141244888,6634014,1670231305162,0,104470133,3572486
WI,2009,37279995712451,0,13939880,54841400,12683151,519174769156,0,59959060,1051965
WV,2009,68079900169318,0,16459270,10943535868,0,149689,0,70782514,742439
WY,2009,4195426650181,0,9665720,488014284361,0,0,0,46029212,2226205
