state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2006,617419767988,0,12236070,40577300,0,6149516,0,6674197,788
AL,2006,78108668180166,0,72517860,19407222131109,31911096,194523865010,0,140895441,0
AR,2006,24183050160743,0,155055814719,92823860,15232577,334261689379,0,52168703,0
AZ,2006,4044285573371,0,6792904148552,328690470,24012231,321938240,13134,104392528,0
CA,2006,22353422368174,12821434,4804738096137,1056911162022446,31958621,22944953422093,494572,216798688,4882801
CO,2006,3626942520837,0,1791207200502,119186392519,0,306920,0,50698353,865536
CT,2006,42815161278834,0,5438920,104844811647,16589446,7547768544,0,34681736,0
DC,2006,81467,0,0,0,0,0,0,81467,0
DE,2006,4968812131915,0,0,1170768910268,0,4170,0,7182179,0
FL,2006,6542333622904090,0,2034220,9618614016924,31426349,23517011978988,0,223751621,0
GA,2006,86503986834225,0,2568837400343,129605980,32005810,567083362210,0,138010208,0
HI,2006,15485959054474,212276,1200870,42757,0,3256920,0,11559174,79674
IA,2006,34405194208321,0,9093480,24000140,5095442,1368960,0,45483462,2317821
ID,2006,82302144,0,112423720,12983950,0,520340,0,13386085,169617
IL,2006,91648764135747,0,1732720,5278998148822,94154140,5942610,0,192426958,254571
IN,2006,123645467147635,0,4895150,26818832870099,0,2202120,0,130489788,0
KS,2006,3328138051142,0,96490,18394060,9350269,0,0,45523736,991890
KY,2006,911984883340898,0,25917010,11766383836,0,89437369361,0,98792014,0
LA,2006,243952051872096,0,7132150,419333351594675,16735448,814322880930,0,90921829,0
MA,2006,111383412328246,0,1512645578898,233066760,5829658,1153571125258,0,45597775,0
MD,2006,29408022580726,0,21042750,1770206332444,13830411,408095218066,0,48956880,0
ME,2006,321262594935,0,42781320,72978560,0,2830333684618,0,16816173,0
MI,2006,67780161401887,0,15203531039210,11409955412347,29066165,7368231703524,0,112556738,2212
MN,2006,33070451494188,0,5717300,25607970,13183418,414266589670,0,53237789,2054947
MO,2006,7744960461024,0,19921447552,37294275091,10116660,2387596,0,91686343,0
MS,2006,18105333398709,0,0,1570584943723,10418586,64801534602,0,46228847,0
MT,2006,17085080419124,0,101301610,6758011207,0,94415,0,28243536,435970
NC,2006,75487005451138,0,3839012131342,31955630,39963184,917401736565,0,125214784,0
ND,2006,2887899142079,0,15210340,706558939,0,35440,0,30881137,369485
NE,2006,2068254819317,0,8933860,7588010,9002656,520140,0,31669969,261247
NH,2006,3885433439193,0,15289100,60066060,9397856,156399589981,0,22063695,0
NJ,2006,10861925269519,0,35436298601,15668374110265,32567885,9007920,0,60700139,15991
NM,2006,2985900841486,0,1982110,58895990,0,218850,0,37265625,1255436
NV,2006,725352117347,1343711,20576260,211841353682,0,0,0,31860022,0
NY,2006,209678406778039,0,27344655756156,421338780,42223899,1419441521829,0,142265432,655371
OH,2006,1334001561354555,0,6319360,2379062360007,16846939,34121410093,0,155434075,14401
OK,2006,3503202363750,0,623579116473,3298069016143,0,297283,0,70614880,1712441
OR,2006,237062811820,0,378502970,112386420,0,98977798793,0,53340695,931219
PA,2006,1225579031518457,0,2844142698177,13541728554432,75297632,1428708683130,0,218811595,361108
RI,2006,32676,0,59090,57802270,0,1489130,0,5967725,0
SC,2006,39472846236917,0,18069481119899,606806116,50797372,1060531804384,0,99267606,0
SD,2006,33159114660,0,33968330,2658170,0,0,0,7132243,148965
TN,2006,60497846160224,0,7748650667540,66427413635,24678777,58183697819,0,93911102,54598
TX,2006,1463913411789183,0,6619710,1978702333798403,41264278,255701892044,0,400582878,6670515
UT,2006,3685555062126,190608,7467830,33885500,0,148680,0,41263324,0
VA,2006,34288141839212,0,13511941167444,72154500,27593516,6784081780043,0,73069537,0
VT,2006,7371,0,15186650,18750,5106523,439222,0,7084344,10688
WA,2006,637282338230,0,8200762947099,7495410348649,9328277,1840141281189,0,108203155,1037651
WI,2006,40116490877186,0,16785980,53584820,12233515,390384773863,0,61639843,101376
WV,2006,91473321174886,0,15724330,36183752797,0,2960,0,93815804,173757
WY,2006,4289182745937,0,8433160,501270309927,0,0,0,45400370,759061
