state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,1999,523369874256,0,8166080,35880750,0,0,0,5802308,0
AL,1999,73754727316313,0,77596020,3348545288151,30892394,143304282619,0,120657508,0
AR,1999,24668807159965,0,26943340,4542596147,12919550,52271560532,0,46553939,0
AZ,1999,3830516550355,0,9758817324035,50344450,30415572,47840,0,83893173,0
CA,1999,22960822137916,13045715,40736667386214,850988622417613,33371857,23826463469703,494996,188319223,3229953
CO,1999,3287706446235,0,156248536349,49673830,0,317720,0,39521288,0
CT,1999,14860678268315,0,4219622891,360159334831,12675262,21059770,0,28596898,0
DC,1999,230003,0,0,0,0,0,0,230003,0
DE,1999,28347111604551,0,0,2242791169685,0,0,0,6851738,0
FL,1999,6762992737130630,0,1401750,4316695626619,31526285,35353972069361,0,187263426,0
GA,1999,751446591562467,0,275117448086,32287690,31478122,471123165459,0,117338745,0
HI,1999,14402457995322,210857,1149020,49511,0,5765950,0,10403926,16494
IA,1999,33154236136453,0,9456220,5073750,3640258,90577606,0,38801481,326354
ID,1999,51887244,0,134991510,3316100,0,472685,0,14436648,0
IL,1999,75089527400486,0,1420940,4996528321263,81743889,695584266,0,163410520,0
IN,1999,115209205920457,0,4069740,21091212968890,0,1259780,0,121764501,0
KS,1999,29649100311345,0,123670,29407990,9156619,0,0,42070230,0
KY,1999,89522933127484,0,25565720,4625100,0,12409,0,92681908,0
LA,1999,211821041932461,0,8018260,479987191651269,13111604,1257182734598,0,89941753,0
MA,1999,1116984711241950,0,974568469367,111043990,4518426,193812097449,0,40575392,0
MD,1999,296876554290788,0,14241970,212519359891,13312335,614474171088,0,51685621,0
ME,1999,4944074711421,0,37559560,807354517,0,5277603099133,0,12673929,0
MI,1999,704049941484354,0,1458333932474,13513755153,14590711,9793811740491,0,103239715,0
MN,1999,30188125700147,0,11789330,14272720,13315562,730621493027,0,48519379,485692
MO,1999,61507298293172,0,1853065112746,16268080,8586646,614670,0,73815710,0
MS,1999,130422933145053,0,0,87924430,8428216,1436967,0,34844972,0
MT,1999,16993155486959,0,138220620,3660630606,0,49946,0,31419334,0
NC,1999,72255506662070,0,3684186175397,11666630,37523504,926541544851,0,117357615,0
ND,1999,2869303454921,0,26091590,160453121,0,55640,0,31417403,0
NE,1999,1783717629623,0,17190300,3626280,10091092,162020,0,30055751,0
NH,1999,33282631572013,0,14112820,744550,8676237,240767886230,0,16189247,0
NJ,1999,8064392792470,0,17303145413,17099236611649,28970893,13652510,0,56803421,0
NM,1999,2806770443881,0,2427100,41565480,0,110130,0,32521856,0
NV,1999,1690753035477,1414912,28276710,93465410,0,0,0,30532131,0
NY,1999,2336594213304192,0,247523181109075,45999188111954,37018540,2257728580079,0,146280866,0
OH,1999,123320141483998,0,4230310,886446156424,16422010,638381,0,142330431,0
OK,1999,3371001116625,0,3175399106374,1785230655265,0,1603160524,0,54865359,0
OR,1999,37226448029,0,456390500,68804400,0,92410420982,0,56848347,84792
PA,1999,1112143743496238,0,1946598449612,3802013575293,71127449,2038376719659,0,194528045,0
RI,1999,72039,0,60500,61846000,0,1141920,0,6376881,0
SC,1999,35804943386565,0,1687351996777,104655054609,50813559,605771376131,0,90233508,0
SD,1999,367440024119,0,66773030,1812050,0,0,0,10557027,0
TN,1999,56878038515575,0,7801957651676,69320614451,27227225,38748689781,0,93320137,0
TX,1999,1408648991750919,0,11202060,1720607733971925,36759899,744651126536,86,358944744,319960
UT,1999,3453378130664,155530,12551420,610057191285,0,81690,0,36784628,0
VA,1999,354445233362738,0,6816871227757,46394810,28300643,10734381622858,0,73897611,0
VT,1999,24978,0,11956960,182910,4059107,391917,0,5703593,13604
WA,1999,869247951495,0,969893820,3707237221354,6085893,2068231129311,0,117084018,0
WI,1999,41131554541422,0,19845940,22086800,11494764,280684897156,0,58538854,0
WV,1999,93329226192990,0,9302550,16447275458,0,0,0,94692596,0
WY,1999,4193907248699,0,11702250,3796249656,0,0,0,43632491,11150
