state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2008,617897977915,0,11718010,40024720,0,46820,0,6774834,68
AL,2008,74604648204265,0,61361480,22362919203739,38992641,336983323616,0,145869895,0
AR,2008,2611465463625,0,466029747557,84610730,14168091,467701466063,0,55050528,0
AZ,2008,4384026051897,0,728590294530,388224290,29250496,2298675947,14724,119459172,0
CA,2008,22804011741590,12883000,24127810321263,1199917371684863,32482351,23619463483555,670481,207984263,5384955
CO,2008,3482754519113,0,2039327249108,134874750,0,45119135,18354,53441594,3220843
CT,2008,4386608513850,0,5561776791,80698520,15432946,7318811633,0,30409473,0
DC,2008,72316,0,0,0,0,0,0,72316,0
DE,2008,5266915219177,0,0,1387009476422,0,1633750,0,7523839,0
FL,2008,6482341111970743,0,2061580,1033631239977,32133276,23341271968741,0,219636818,0
GA,2008,85491258741561,0,2144618156922,134284120,31691095,1216852660285,0,136173395,0
HI,2008,16475928669934,234333,843430,38572,0,3024230,18,11376385,240023
IA,2008,40410107161127,0,8190470,21631910,5282202,16726449,0,53086786,4083787
ID,2008,90449120,85547,93625010,16995530,0,455393,0,11970553,207472
IL,2008,96644038142728,0,1385490,425987053874,95151694,697370612,0,199475178,2336996
IN,2008,122036086178244,0,4367800,36363032355804,0,2730380,0,129510294,238356
KS,2008,34003262130190,0,105740,22297230,8497160,0,0,46630321,1759412
KY,2008,916205882874440,0,19174700,9786923835,0,108880350740,0,97863340,0
LA,2008,241000422305013,0,10643730,453443861101057,15370988,708862638789,0,92453141,0
MA,2008,106286882107999,0,1155811798400,215144340,5868639,1129046122580,80,42505478,3672
MD,2008,27218239405840,0,19740780,1848147337823,14678695,414781197704,0,47360953,0
ME,2008,351799532985,0,44574050,73796150,0,2577953668569,0,17094919,131621
MI,2008,69855436457538,0,1364378915502,9602037264407,31484428,7395371710423,0,114989806,141182
MN,2008,31755253231617,0,7270610,286584626520,12996838,771042725220,0,54763360,4354620
MO,2008,7353166057421,0,2046773545355,51961372587,9378629,411001613,0,91028795,203313
MS,2008,1668340276281,0,0,2060742740445,9396790,50511386275,0,48205711,0
MT,2008,18331532419150,0,99995570,656595772,0,110958,0,29637137,593138
NC,2008,75814787320221,0,3033642121064,41773420,39776280,1204821799930,1801,125239063,0
ND,2008,2967223049092,0,12527900,510,0,129270,0,32734579,1693458
NE,2008,2147977334655,0,3464560,7584870,9479039,609290,0,32373522,214184
NH,2008,3450770136281,0,16332240,70733510,9350314,1550251009640,0,22876992,10319
NJ,2008,9028491325312,0,25773274845,20751755158826,32194798,8817360,2669,63674789,20885
NM,2008,2701423352589,0,3122880,79660070,0,188850,0,37009837,1642787
NV,2008,781235214270,1382820,17506200,239719111987,0,0,156013,35089974,0
NY,2008,191541253745328,0,26723131672139,438564600,43209171,1512860555097,0,140322100,1250700
OH,2008,1306943101437938,0,3864350,2484391260924,17513878,190175418117,0,153412251,15084
OK,2008,3631491722536,0,3811273167598,3377416710219,0,16961823006,0,76328908,2358080
OR,2008,404431914793,0,338050240,173871620,0,130747717117,0,58718438,2575234
PA,2008,117583412937924,0,2548858353762,18730607609664,78658093,1416201657976,175,222350925,729425
RI,2008,26334,0,49770,71975480,0,1584070,0,7387266,0
SC,2008,41539695180467,0,11231151266564,57289880,51762950,1197591696067,0,100978005,0
SD,2008,366048223175,0,29931070,2285690,0,16650,0,7082672,145136
TN,2008,57058129215684,0,5646073738679,46723012030,27029617,35900879293,0,90663312,50117
TX,2008,1471318411033520,0,10394670,1932470783400506,40727370,438473975599,0,404787781,16225022
UT,2008,3802036743612,254277,6680840,736630735788,0,236850,0,46578763,23900
VA,2008,317763561150360,0,10109931637688,93150830,27930764,7821721916288,0,72678531,0
VT,2008,4266,0,14929040,26550,4895053,415103,0,6820216,10235
WA,2008,876164435189,0,7763675848713,9809354272339,9269639,1678811113073,0,110828451,3657484
WI,2008,41705860931160,0,16161420,52435890,12154510,491754775040,0,63479555,487141
WV,2008,89113480137199,0,12480370,18041050251,0,390,0,91123097,391910
WY,2008,4380790344027,0,8352750,494679288645,0,0,0,46500448,962542
