state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2012,6849591037762,0,15750450,36060372658,0,25650,0,6946419,37392
AL,2012,45606920109583,0,74352230,55705000177652,40841212,77892768765,0,152878688,0
AR,2012,2843093032560,0,219847242410,171174130,15493131,704791589891,0,65005678,0
AZ,2012,4011566541912,0,671693479445,302950100,31933916,53872156697,955443,110904994,531640
CA,2012,1375083289823,12518999,26837370574859,1196683291484164,18507408,25137213797596,1382300,199518567,9754230
CO,2012,3452102011045,0,1497209244468,105244450,0,57722267,165449,52556701,5968643
CT,2012,652886111733,0,3121412716,165371690,17077887,665789736,0,36117544,0
DC,2012,9399,0,0,623880,0,0,0,71787,0
DE,2012,142270321624,0,0,6814727243589,0,1048540,22559,8633694,3638
FL,2012,442863911366026,0,1505110,1496996416054,17869935,22726212057561,193616,221096136,0
GA,2012,40715049378072,0,2236300837884,425386010,33941634,1681223107494,2921,122306364,0
HI,2012,15373407482760,260997,1145810,47036,0,2809760,4608,10469269,378234
IA,2012,35331351106557,0,7661910,19408860,4346995,1509340,0,56675406,14032492
ID,2012,7673719,74676,109404050,18981670,0,89686459581,0,15499089,1890559
IL,2012,8082677871382,0,1112080,11188975293590,96401309,6151930,30657,197565362,7726809
IN,2012,92461192945765,0,4335050,144709052491425,0,3360920,171,114695729,3210104
KS,2012,2798253134371,0,103990,28598120,8284924,573470,0,44424691,5195306
KY,2012,827616681536621,0,23617820,29486620,0,96336236543,0,89949689,0
LA,2012,214218693029848,0,6799440,585637561247401,15659132,637622366281,0,103407706,0
MA,2012,2136922150398,0,912482307545,246723810,5859540,1056204101444,29614,35578421,89673
MD,2012,16184773137305,0,16565390,4944895112314,13579266,395039158953,22473,37809744,321687
ME,2012,45258107861,0,37326040,60436950,0,2758643502497,0,15048296,886918
MI,2012,53136432325143,0,1206826773280,21748358314755,28019714,9562271697524,0,108158050,1131688
MN,2012,2272277429593,0,5610220,70882050,11943790,999217839246,0,52754433,8176217
MO,2012,7277500877763,0,71426933444,61671640,10718329,538010,0,91804321,1244778
MS,2012,721197317082,0,0,385498930,7296134,164411492749,0,54584295,0
MT,2012,13987392466973,0,112834650,46399814,0,0,0,27804782,1261751
NC,2012,50932180178261,0,37279380,193020080,39385592,3023422262087,139491,116681763,0
ND,2012,2821436433154,0,24772300,2169734890,0,55430,0,36125159,5274509
NE,2012,2501921622583,0,12570540,7701000,5801578,631320,0,34217292,1283629
NH,2012,126771721650,0,12472700,70497040,8189181,1372921035295,0,19222319,208699
NJ,2012,189747570779,0,10755166176,28284904142181,33110224,9648210,304326,65263408,11568
NM,2012,2499404946149,0,2228190,87990410,0,142660,333797,36635909,2225788
NV,2012,407943218875,2347465,24404150,256466587324,0,189610,473417,35173263,128788
NY,2012,4551039580284,0,24652491412945,594622560,40774560,1660351487784,52713,135768244,2991577
OH,2012,855886361281132,0,4141610,22665385958869,17086998,365613350888,36637,129745731,985485
OK,2012,2930175810944,0,1145514116710,390243000,0,94122269016,0,77896588,8157585
OR,2012,26343355925,25651,394101780,116246880,0,231587600112,6412,60932730,6343484
PA,2012,87148205283393,0,2241920443367,53062199597968,75174408,1764728533585,32147,223419715,2128658
RI,2012,17874,0,42660,81850010,0,1005150,0,8309036,1380
SC,2012,28396145108399,0,1420272896033,143318790,51145302,2025201940953,0,96755682,0
SD,2012,29187565718,0,59809650,2141010,0,0,0,11473397,2353857
TN,2012,35419309144480,0,8295660162939,807516013486,25102101,62206714577,12183,77724264,47492
TX,2012,1380882231484204,0,5844740,2139012822998816,38441017,700275983984,118265,429812510,32214173
US-Total,2012,151404294523189541,15562426,2762402194950496,122589417511897585,769331249,1982303737799129,4326675,4047765267,140821715
UT,2012,3079912039787,334638,7477860,65796043931,0,595560,1619,39402961,703911
VA,2012,14180795363968,0,10437741365574,250377490,28723390,9226541435790,0,70739235,0
VT,2012,3420,0,11513210,25390,4989338,25646327561,5064,6611786,106897
WA,2012,376295726713,0,8946435543551,5437593405337,9333709,2389891374801,794,116835473,6599766
WI,2012,32758435317568,0,15302630,115420070,14299595,5167261148874,0,63750938,1557578
WV,2012,70267429143448,0,14314400,24289431631,0,105401,0,73413405,1286024
WY,2012,4341176651854,0,8934700,512915282499,0,0,0,49588606,4369107
