state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2005,624318758929,0,14639420,37236260,0,4873383,0,6576659,589
AL,2005,78128457333110,0,101445810,13869451106864,31694223,164143630388,0,137948581,0
AR,2005,23037144208101,0,308251620702,60056600,13689571,276931707830,0,47794509,0
AZ,2005,4014353443237,0,6410064107365,288930130,25807446,4835612058,13581,101478654,0
CA,2005,21353752543697,13022639,39631867119793,933538492279584,36154898,22235263609139,536713,200292818,4262229
CO,2005,3557013517046,0,1415296122063,119232902430,0,33879448,0,49616694,776234
CT,2005,39964923155842,0,4781991653,88638921566,15562122,7460217314,0,33549747,0
DC,2005,226042,0,0,0,0,0,0,226042,0
DE,2005,48328441220239,0,0,1590817492668,0,0,0,8136568,0
FL,2005,6251530137201034,0,2661590,8359519513240,28758826,23049562022240,0,220256412,0
GA,2005,871822591033092,0,4032053209221,97710340,31534259,771233194765,0,136667892,0
HI,2005,16309189067592,221597,961880,41133,0,3097400,0,11522805,6632
IA,2005,34252334149568,0,9595260,24808700,4538313,1168420,0,44156160,1647134
ID,2005,951815,0,85421210,15972800,0,559631,0,10824984,0
IL,2005,92265190327190,0,1290370,7114251198799,93263001,6417350,0,194120146,141146
IN,2005,122833478260794,0,4382820,36153052721577,0,676920,0,130371573,0
KS,2005,34480731986378,0,113370,11374820,8820945,0,0,45862696,425823
KY,2005,890831133680685,0,29611930,16540524991,0,63316358096,0,97822419,0
LA,2005,230873653541084,0,8109480,441679041896725,15676353,803972806371,0,92616878,0
MA,2005,120335467026444,0,1041950461643,203694670,5475057,1138288120027,0,47515443,0
MD,2005,293027923805569,0,17036390,1886986342466,14703221,417380205985,0,52661600,0
ME,2005,3202711621391,0,40909260,839845354,0,2902303777959,0,18843978,0
MI,2005,70322976877559,0,14617081106241,13763892372119,32871574,7165611775914,0,121619771,1848
MN,2005,32949845776309,0,7747290,27072670,12835219,413281656350,0,53018995,1582477
MO,2005,77436559169173,0,115932685932,38659462383,8030577,85980,0,90828230,0
MS,2005,166358841444848,0,0,1536006620166,10077846,53441516353,0,45067453,0
MT,2005,17823339414876,0,95873490,2693814665,0,71612,0,27938778,0
NC,2005,78435700518869,0,5396502146505,31593770,39981739,984421708706,0,129748578,0
ND,2005,3025875934265,0,13418240,801259422,0,99890,0,31932615,220345
NE,2005,2081817131005,0,8714730,8029836,8801841,426460,0,31464734,96608
NH,2005,40729871357144,0,17989030,67847350,9455885,156166785731,0,24470013,0
NJ,2005,11625419940463,0,31113282707,1536616564932,31391685,8749050,0,60549583,0
NM,2005,2994724836909,0,1649930,41872150,0,46470,0,35135642,794630
NV,2005,1838426120500,1262707,17023800,188356238281,0,0,0,40213752,0
NY,2005,2059764024012783,0,25782518780731,318727010,42443152,1357738527721,0,146887419,102990
OH,2005,1368255981390393,0,5157440,2695628298339,14802733,26761405560,0,156976323,13268
OK,2005,3630855670342,0,2630361153825,2859022018838,0,289248,0,68607827,847773
OR,2005,346648678187,0,309483450,131909960,0,98043768195,0,49325003,734274
PA,2005,1209332544939562,0,2232179711041,10807750540065,76289432,1357703687364,0,218091125,284241
RI,2005,57170,0,67340,59893900,0,0,0,6053294,0
SC,2005,39692059618434,0,29381471198675,54141835642,53137554,876591725981,0,102514665,0
SD,2005,299634720785,0,30745660,2709460,0,0,0,6520769,158104
TN,2005,59051476230527,0,9309541597935,53116514598,27803108,68191694555,0,97117165,3339
TX,2005,1483580231582695,0,13325600,1976652583271768,38232493,246705851698,0,396668722,4237209
UT,2005,3597040540909,184802,7844630,11775010,0,39480,0,38165131,0
VA,2005,354248754264659,0,14843531420823,82947700,27918481,6952031802693,0,78943045,0
VT,2005,10179,0,12108110,22400,4071547,410491,0,5716755,11486
WA,2005,1049440767295,0,720746498473,8578546321724,8242273,1903901424802,0,101965850,498470
WI,2005,41729313746510,0,17402190,63867940,9920991,348759740350,0,61824664,92544
WV,2005,91417003223293,0,14475660,28709285511,0,253460,0,93626285,153892
WY,2005,4334567642305,0,8083750,324981263586,0,0,0,45567307,717264
