state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2013,624621818652,0,14354790,34210050,0,520320,0,6496822,145289
AL,2013,4705048474131,0,128991780,46586385267736,40816135,211902854388,0,150572924,0
AR,2013,3188923541687,0,265474030818,121393770,11945257,1052181495595,0,60322492,0
AZ,2013,4349237642965,0,591465824271,296846310,31431080,69134102308,2111439,113325986,449764
CA,2013,82317168855,12306571,23754599196290,1195228591405720,17911943,28432033792073,3813725,200077115,12822060
CO,2013,3370343710192,0,1212872280433,107088050,0,811213089,248452,52937436,7203720
CT,2013,680653306052,0,4019281051,157802970,17079582,6478014289,0,35610789,0
DC,2013,0,0,0,658520,0,0,0,65852,0
DE,2013,154472122912,0,0,5931288155409,0,573470,44727,7760861,4458
FL,2013,463425552560466,0,2542140,1389663694671,26525855,23094412139402,209902,222398924,0
GA,2013,40232866274938,0,3713590427301,403298470,32902781,4152393409442,14497,120953734,0
HI,2013,14037547222766,274841,782950,41330,0,3293640,19466,10267052,503310
IA,2013,33302345141456,0,7491220,14300120,5320785,1586300,0,56670757,15568406
ID,2013,9161838,39683,84734510,33919100,0,198415453824,0,15186128,2460131
IL,2013,8792713972433,0,1202950,6827686355950,97131436,6079860,52120,203004919,9625229
IN,2013,926719421572309,0,3869280,90322362409662,0,3763030,30540,110403477,3481093
KS,2013,2976726251123,0,145180,19801790,7168301,580020,0,48472581,9433196
KY,2013,833032601408935,0,32752140,14183460,0,98492228189,0,89741021,0
LA,2013,208437134945198,0,10445610,525101752246280,16954394,823472704256,0,102010177,0
MA,2013,3959229390311,0,991504367906,212568870,4330643,106054176531,106457,32885021,204898
MD,2013,15538469189553,0,17270200,28875890,14264305,413220142789,63485,35850812,321670
ME,2013,62752239128,0,35604550,48733880,0,2203343625359,0,14030038,1047670
MI,2013,56291453532481,0,1419049870822,12341392956665,28920823,9876881727072,0,105417801,2799624
MN,2013,2351779827167,0,5111120,63010530,10707717,5742461035585,2706,51296988,8258751
MO,2013,7610481865475,0,1136427296075,43996280,8367103,663367679,0,91626593,1166862
MS,2013,870129513982,0,0,317768890,10864509,151731433214,0,52810264,0
MT,2013,14880295462302,0,96382600,61423116,0,5117,0,27687326,1754645
NC,2013,47072210217571,0,69005330,279825090,40241737,4102942199893,344663,125936293,0
ND,2013,2747782233134,0,18524210,5419541609,0,54810,0,35021673,5518958
NE,2013,2676710142561,0,11239150,4366450,6865367,672790,0,37104628,1801760
NH,2013,1463531104512,0,14271980,41001720,10926725,1372861168932,0,19778520,389184
NJ,2013,2021618161599,0,18274202133,27076530223164,33379688,9988320,437409,64750942,10877
NM,2013,2414527157848,69,918380,89752430,0,185180,388041,35870965,2193421
NV,2013,525455318890,2669953,26819430,247666336304,0,242770,745382,36443874,250549
NY,2013,46971051007373,0,24973289442868,543543870,44755606,1674041607554,67017,136116830,3539498
OH,2013,945638851385888,0,5492380,21694211952834,16121250,474466342583,46310,137284189,1145901
OK,2013,2999944910211,0,217807878457,300559980,0,125598218313,0,73673680,11162493
OR,2013,37589966151,164649,330976670,143630400,0,293888700182,20493,59895515,7455702
PA,2013,88443209460072,0,2524673538770,49937702650147,78714031,1846840491998,63106,226785630,3352043
RI,2013,50540,0,44470,61390900,0,481320,2007,6246807,2590
SC,2013,24407148103346,0,3160274794922,118340740,54251968,2128962012988,115,95249894,0
SD,2013,28493836994,0,40626090,5022010,0,0,0,10108887,2687699
TN,2013,32485831130497,0,1244328342012,501669812768,28493814,85033958017,20394,79651619,46745
TX,2013,149404243950802,0,4800420,2037984162399969,38314996,730230992694,163013,433380166,35873621
US-Total,2013,158111471627164444,15774674,2685653834681033,112483556012852937,789016473,2083049040027537,9035620,4065964067,167839745
UT,2013,3428495726001,318908,5049960,66064231770,0,709260,2100,42516751,539806
VA,2013,21160501313288,0,12536701189000,226511670,29326231,9597251946217,0,76896565,0
VT,2013,5103,0,12859120,30290,4846327,25698465513,17293,6884910,236034
WA,2013,674042524363,0,781550877188,11424310409786,8460890,2839041532734,762,114172916,7004365
WI,2013,40645181303055,0,19788720,81024910,11675194,4843401149717,0,65962792,1557924
WV,2013,72284358149831,0,17387760,26963929947,0,39990,0,75863067,1386516
WY,2013,4643667939306,0,7108780,512439281200,0,0,0,52483065,4433284
