state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,1998,524613836467,0,11133320,33528950,0,1538,0,5828845,0
AL,1998,71940036453674,0,105648570,3751698268002,28662513,79584212160,0,119862125,0
AR,1998,23180204165349,0,31167430,4507079185,13097252,77871590702,0,45665301,0
AZ,1998,3656342763216,0,10970189268991,39282040,30301045,0,0,82095072,0
CA,1998,21590702213072,12839684,495482001208801,751319923076556,34594206,23997113148981,502339,189600706,2757869
CO,1998,3335784949190,0,146196145530,39363140,0,307190,0,38881563,0
CT,1998,30162478665082,0,44828589,2257468239,3243003,20610790,0,19691492,0
DC,1998,243975,0,0,0,0,0,0,243975,0
DE,1998,39061771523634,0,0,1276972187641,0,0,0,6898585,0
FL,1998,7027944441521651,0,1985050,3892319180305,31115419,33933682073964,0,189628996,0
GA,1998,708780521571191,0,5234521172698,32931400,31380401,543483078070,0,115323706,0
HI,1998,14348687851068,237083,1212730,60443,0,5040660,0,10228082,19281
IA,1998,32999971116543,0,9129150,5608920,3767513,89877989,0,38448789,89
ID,1998,48120625,0,129355500,3371520,0,50503662,0,13908673,0
IL,1998,75355161862421,0,1377130,5524342342824,55595668,6258941229,0,138464562,0
IN,1998,1118180951077101,0,4786680,20771541896396,0,1241110,0,117471525,0
KS,1998,28023687122601,0,114250,30167970,10410718,0,0,41585228,0
KY,1998,86838802464948,0,31160180,4976080,0,15652,0,90933028,0
LA,1998,207815302293520,0,10628240,44975196918066,16427501,1534072718474,0,89648611,0
MA,1998,1119975814534366,0,1029741455585,116218280,5698414,1937066118028,0,45683616,0
MD,1998,292947273454350,0,17397370,199059682316,13330598,605046155647,0,50653017,0
ME,1998,5883623145163,0,37159660,33694943,0,7986972746817,0,11003317,0
MI,1998,704726571171661,0,1397118930349,130851805294,12494153,10020901759962,0,100477394,0
MN,1998,31806877667271,0,9546430,15960320,11644106,770110432014,0,48017905,146852
MO,1998,62726176321821,0,234658577703,12648100,8516773,888840,0,75187346,0
MS,1998,117795435425222,0,0,65769720,9190528,6851436106,0,34409056,0
MT,1998,16784786426731,0,111179400,5577631136,0,44149,0,28460518,0
NC,1998,72949463691314,0,573820765672,12843570,38778211,884221533822,0,121378824,0
ND,1998,2825686064524,0,22959480,72952366,0,15240,0,30671951,0
NE,1998,1838047142607,0,16828340,4144830,8258803,175930,0,28796791,0
NH,1998,35130651453854,0,15967480,233090,8387023,233805881049,0,16088853,0
NJ,1998,7645226729873,0,20670146233,16480826659128,27132139,13108170,0,53857633,0
NM,1998,2753742627476,0,2364120,45135490,0,92060,0,32324069,0
NV,1998,1716134151532,1537094,31663250,86908290,0,0,0,30613520,0
NY,1998,2526478014900782,0,293157781157681,4247159988313,31313708,2180546485423,0,144863248,0
OH,1998,129223181370838,0,4064270,677578185762,16475732,241600298,0,147940057,0
OK,1998,3422403013892,0,350874888735,1830141849819,0,1980218091,0,56229243,0
OR,1998,337462233632,0,399021670,72500650,0,92626475849,0,51148484,19523
PA,1998,1163871554506729,0,2381352459733,3890017630761,61149224,1893649771592,0,191191518,0
RI,1998,78306,0,86760,74763740,0,1111550,0,7674511,0
SC,1998,32969699451663,0,3569417989870,87746592,48759447,623321541870,0,87246561,0
SD,1998,309411326551,0,57576000,2107260,0,0,0,9088990,0
TN,1998,56832939706174,0,10806028622336,85786315845,28387543,52293595252,0,97728457,0
TX,1998,1354260251580092,0,14248210,1721439244077715,38685129,943451254609,134,355320164,80036
UT,1998,3358767434948,160057,13147110,528257284783,0,0,0,35910430,0
VA,1998,348757652926054,0,1283295955440,423674558,27234399,10613741537189,0,72199439,0
VT,1998,42295,0,11940490,8270,3357696,351430,0,4946297,0
WA,1998,931220587043,0,798146520,4346349348881,6916065,2114611120311,0,102158508,0
WI,1998,41023993491495,0,17474240,24842750,9397174,369618933452,0,56447431,0
WV,1998,91213355200945,0,10863440,184473136854,0,0,0,92822186,0
WY,1998,4350406345631,0,13423220,3684147505,0,0,0,45347296,2045
