state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2004,648980747068,0,14980200,36234330,0,8828389,0,6526717,0
AL,2004,74831624295025,0,106262210,15977019181942,31635789,228773756356,0,137354771,0
AR,2004,25353563538941,0,364343924745,50687640,15449851,326091777770,0,51927632,0
AZ,2004,3981055640516,0,697314753440,282649430,28112609,439980,4265,104564143,0
CA,2004,22378082262897,13105306,34140929816831,1002222332065965,30267887,21619223826906,570890,194780355,4305875
CO,2004,3584839013868,0,1194665191801,107474961753,0,3489387,0,47869492,220141
CT,2004,42550721740112,0,4626127715,81078060,16539097,7523625457,0,32633408,0
DC,2004,36487,0,0,0,0,0,0,36487,0
DE,2004,47438351103578,0,0,1718419289720,0,0,0,7855553,0
FL,2004,6486177437255452,0,2652580,7657697014732,31215576,22852472216324,0,218117928,0
GA,2004,79942963946528,0,3692396877846,61296520,33747705,834643108275,0,126812715,0
HI,2004,16037518944696,213288,939010,47908,0,3288320,0,11410403,7495
IA,2004,35272196108620,0,9459590,8247060,4928948,1059260,0,43248189,1049952
ID,2004,99203136,0,84616550,17038230,0,560280,0,10863039,0
IL,2004,94401628762340,0,1535290,3393312246008,92047323,7439260,0,191957778,78073
IN,2004,120670932425257,0,4437210,24382263136317,0,1373700,0,127770396,0
KS,2004,34593346853763,0,125470,8316340,10132736,0,0,46782659,358632
KY,2004,861205113621099,0,37802510,5798401701,0,61899349119,0,94529947,0
LA,2004,236578113903315,0,10988250,461695382532857,17079981,765712889820,0,98172309,0
MA,2004,105263627533158,0,998281498326,209717210,5938600,1115565114336,0,47500483,0
MD,2004,291954583296842,0,25075210,1183301411565,14580260,396824192384,0,52052770,0
ME,2004,3594101311913,0,34302490,983218738,0,4110803186957,0,19098885,0
MI,2004,68606019896409,0,15395841112984,14547703598747,30561961,6899361866638,0,118487269,1875
MN,2004,34000208783450,0,7383110,14575840,13295502,332278652401,0,52364127,812371
MO,2004,75023555196161,0,1479914115325,28648512400,7830693,9442192,0,87632910,0
MS,2004,174776882776857,0,0,1161856740748,10232766,30891511357,0,43662613,0
MT,2004,17380228439137,0,88560310,2795322972,0,62446,0,26788768,0
NC,2004,75546115610909,0,543519978251,25586540,40090623,1121661620636,0,126329957,0
ND,2004,2806422438431,0,15458640,904458417,0,56030,0,29936106,214523
NE,2004,2045708521868,0,9130210,297390142,10241254,395180,0,32008709,38431
NH,2004,40760751960452,0,13157560,53997650,10177573,155186728066,0,23875787,0
NJ,2004,103224841424853,0,37503287239,1596219538779,27081566,8058320,0,55882342,0
NM,2004,2926389931376,0,1389470,29926740,0,0,0,32940361,513465
NV,2004,1825726595766,1297504,16151230,1638074321033,0,0,0,37667435,0
NY,2004,2285270421205198,0,23989661813171,272940450,40640305,1298097497129,0,137964794,116450
OH,2004,1281567821388281,0,7298760,1390995302063,15950121,30069397708,0,148345905,0
OK,2004,3380138668312,0,2976676233879,232855790,0,249875,0,60729560,572744
OR,2004,355566162933,0,330808190,135251830,0,86140409951,0,51381278,619012
PA,2004,1171757834141813,0,3155338685884,9813647583772,77458632,1289489679853,0,214658501,306312
RI,2004,48525,0,54610,47839070,0,1015260,0,4939420,0
SC,2004,38922220871291,0,24469091149090,379785810,51200640,689601694219,0,97939929,0
SD,2004,362000122771,0,35975090,1122550,0,0,0,7510214,157678
TN,2004,58059632190814,0,10408112817826,29248613325,28612271,41803784313,0,97594542,3813
TX,2004,1488846551728906,0,13006090,1887546634203684,40435372,251780857217,0,390299132,3137690
UT,2004,3661785432601,194876,4498480,9098500,0,38210,0,38211977,0
VA,2004,356560065153612,0,15830501166111,64378090,28315294,6992371733120,0,78900040,0
VT,2004,17800,0,11872560,32240,3858020,392714,0,5470379,11364
WA,2004,1040933185884,0,715757009818,8468800275284,8981583,1854451389403,0,102165052,736576
WI,2004,42148176795619,0,19806760,24053620,11887849,405443604634,0,60444933,103563
WV,2004,87584598267558,0,13182790,255310147802,0,1519552,0,89749562,161191
WY,2004,4334574045859,0,5931470,8689712746,0,0,0,44807604,616515
