state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2014,558292445621,0,15387380,32880220,0,625120,0,6042830,151957
AL,2014,4730162698100,0,94668720,48270074180403,41243689,469372732084,0,149340447,0
AR,2014,3322075529274,0,263977667070,96137080,14478259,1022741427943,0,61592137,0
AZ,2014,4266501156862,0,611826113892,272418790,32320917,61053169690,3141508,112257187,468115
CA,2014,80476066305,12101728,16531340104740,1204264351332951,16985978,29132923977425,9931815,198807622,12992498
CO,2014,325448499932,0,1769801225264,119538080,0,7907446633,253065,53847386,7368614
CT,2014,824948513414,0,4339606782,146839050,15840619,650102107038,11706,33676980,0
DC,2014,0,0,0,676120,0,0,0,67612,0
DE,2014,865384183282,0,0,6297458226379,0,764990,49530,7703584,5051
FL,2014,520536891877927,0,2113880,1400340706669,27868270,22918162539608,241684,230015937,0
GA,2014,45295113377810,0,3064347780633,409607980,32570182,4134963749886,119227,125837224,0
HI,2014,15111846925919,253841,940830,62204,0,3340300,39262,10204158,578617
IA,2014,33732765143929,0,8786050,13725150,4152468,2644701776,0,56853282,16306755
ID,2014,776711,78799,90022100,25525380,0,175414417105,0,15184417,2805800
IL,2014,8728239086756,0,1322980,5465425338093,97857900,5663720,50117,202143878,10082894
IN,2014,975487391362544,0,3711530,95723462161219,0,3905390,102127,115395392,3496042
KS,2014,2875228244881,0,162140,14525230,8558384,592170,0,49728363,10844861
KY,2014,836019611153377,0,31435670,24995990,0,93534354455,0,90896435,0
LA,2014,192210195231074,0,10900380,561205641942575,17311330,938772685727,0,104229402,0
MA,2014,27948891004834,0,902077458158,184977150,5769154,1073422125237,306321,31118591,224971
MD,2014,17603291463456,0,16155230,25058900,14343334,416719150426,98118,37833652,323612
ME,2014,79104305132,0,36232490,43443810,0,2053863189000,0,13248710,1097329
MI,2014,528998441051330,0,1600022700889,125228371119846,31245848,10551061751129,0,106816991,3868118
MN,2014,2795667962536,0,5484880,38696330,12707166,6142411148927,2653,56998330,9691019
MO,2014,72409212106655,0,69733618853,40442940,9276356,8322632409,8707,87834468,1131105
MS,2014,1074256614101,0,0,326059490,10252183,173451490603,0,55127092,0
MT,2014,15579415428369,0,114827510,51545410,0,13009,0,30257616,1973794
NC,2014,49238197459687,0,475608378009,287376080,40967020,5199312026770,729130,128143588,0
ND,2014,2739406826117,0,25313600,23431540143,0,26520,0,36462508,6202412
NE,2014,2492217542660,0,11577810,4057120,10101838,641850,0,39431291,2736939
NH,2014,1310999287450,0,13813620,43882910,10168265,1253931415415,0,19538395,411581
NJ,2014,2519106496776,0,17296236904,31410341161682,31507121,9984260,514252,68051086,22855
NM,2014,2035563163157,8736,983810,89756560,0,141790,515054,32306210,2274750
NV,2014,654786415030,2728788,23890000,229613555151,0,245680,1013682,36000537,300134
NY,2014,45920542136484,0,26086902491330,543797590,43038624,1668768738834,70616,137122202,3968407
OH,2014,898790521246673,0,4780070,23636445929388,16284440,470881347586,53908,134476405,1153418
OK,2014,2990595212494,0,1428473105798,266414740,0,91651246705,0,70155504,11936833
OR,2014,31925939884,183467,352619360,126989580,0,348095802526,24042,60119907,7555402
PA,2014,78985629803004,0,2641157578653,53021235490777,78714659,1904224549077,62392,221058365,3564730
RI,2014,88419,0,39640,59629510,0,2066940,9803,6281748,9917
SC,2014,28914307245574,0,2569126884495,114066400,52418553,1940592243652,4785,97158465,0
SD,2014,26892166700,0,54982140,4648170,0,0,0,10995240,2336293
TN,2014,35874582185127,0,8900650491183,619961813047,27670006,89567972810,27481,79506886,51140
TX,2014,148173726278033,0,3858980,2047211552306672,39287443,7334541074785,282351,437629668,40005124
US-Total,2014,158171035030231862,15876941,2593666226173548,112660895812021786,797165982,2164971942339725,17691031,4093606005,181655282
UT,2014,3337668824318,521582,6328230,83764200,0,725300,2235,43784526,659951
VA,2014,208185841204907,0,9551881295354,208815660,30220977,10970112754793,0,77137438,0
VT,2014,5473,0,11753210,24650,5060582,23489429218,23536,7031394,311310
WA,2014,671992823541,0,794631444753,11058815336932,9497321,3130801526564,729,116334363,7267794
WI,2014,37449264319032,0,24717730,80535030,9447096,5423151100881,1194,61064796,1618001
WV,2014,77514645162780,0,12419740,65330230878,0,46150,0,81059577,1451383
WY,2014,4340865145123,0,8687100,557121336768,0,0,0,49696183,4405757
