state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2002,575288962369,0,14393510,37781620,0,111241031,0,6767325,0
AL,2002,72041664312048,0,88247870,15904065112541,31856926,184013727493,0,132920670,0
AR,2002,23098370159706,0,34358290,46029580,14558884,46581580608,0,47611645,0
AZ,2002,3822663157446,0,7427180123964,172930150,30861911,533460,459,94131666,0
CA,2002,23278091961066,13073615,31140628240997,896240441240053,34352340,20187593957589,554372,184210031,3802645
CO,2002,3538825123180,0,1209007220264,90284902884,0,298340,0,45600388,139006
CT,2002,32272022337885,0,33508810201,88684708834,14918272,8213460,0,31311219,0
DC,2002,261980,0,0,0,0,0,0,261980,0
DE,2002,3463565949695,0,0,1442883146346,0,0,0,6002489,0
FL,2002,6592639333681351,0,1841140,6316403513079,33704230,21868891552891,0,203352775,0
GA,2002,788281241204565,0,2715722648168,68891500,31107735,1624576218978,0,126512215,0
HI,2002,15457979466990,72761,950680,40816,0,2965430,0,11663070,1614
IA,2002,3537205863864,0,9463830,5547190,4573958,9824291,0,42528384,918835
ID,2002,9067365,0,87693210,3289880,0,508303,0,9786933,0
IL,2002,86685347222683,0,1288220,9078735232850,90860108,7235080,0,188054449,0
IN,2002,117659700617132,0,4112700,37824513005998,0,1159460,0,125608140,0
KS,2002,35369189509078,0,127460,17890520,9041702,0,0,47188446,466679
KY,2002,832742463068498,0,40247490,13737100,0,365465,0,92106668,0
LA,2002,220509061864536,0,8914410,479008481497624,17305328,615802748900,0,94970964,0
MA,2002,115028616800295,0,875076842801,158689750,5768766,1165455106687,0,42027818,0
MD,2002,287120532282432,0,16609890,2214431504513,12128005,338727182904,0,48279088,0
ME,2002,6039381229485,0,27678480,1350396348,0,3197733723759,0,22535033,0
MI,2002,666995081103485,0,16692521035560,1585341810108,31087454,7451241474552,0,117889087,329
MN,2002,33920209652790,0,8090840,15919530,13684824,503456377392,0,52777965,905839
MO,2002,67434967529395,0,1356928159004,35439380,8389629,8560143,0,81162198,0
MS,2002,1485314330302,0,0,1697139737916,10059459,2936593,0,42888812,0
MT,2002,15337829469659,0,95669090,1667819160,0,63470,0,25473705,0
NC,2002,75187741592026,0,349204825175,3560871863,39626849,1034511682804,0,124468030,0
ND,2002,2961152438576,0,15926160,804255144,0,4100,0,31306312,0
NE,2002,1994390720549,0,10974860,413138101,10122242,129930,0,31618494,8078
NH,2002,3722386649709,0,11409400,2203690,9294617,165187699767,0,15953078,0
NJ,2002,9605054730633,0,12030145800,1906935890483,30865675,8471990,0,61569387,0
NM,2002,2690288033089,0,2645910,34417390,0,194080,0,30661707,0
NV,2002,1641302525472,1127283,22675860,1221066044909,0,0,0,32088935,0
NY,2002,2323911211534110,0,25047895921224,384511920,39617491,1313824412218,0,139591688,81626
OH,2002,132953066389119,0,4883290,1766654206565,10864902,25244126067,0,147068850,0
OK,2002,3596477849871,0,1987844177868,2104903970710,0,239045,0,59183419,0
OR,2002,37796846704,0,344131670,78128940,0,48546624086,0,47099369,376159
PA,2002,1139064402732945,0,2210563657754,6715537568725,76088930,1238437766289,0,204322878,57768
RI,2002,57533,0,36850,63104170,0,977520,0,7056765,0
SC,2002,36947722300337,0,13897511143216,4498319314,53325854,155221228895,0,96563498,0
SD,2002,32715234961,0,43536530,857780,0,0,0,7721958,6043
TN,2002,59705681269613,0,7973662695843,46957311873,27573925,45268750892,0,96114262,4068
TX,2002,1418472401620965,0,11234920,1964334103052992,35618004,2456871073462,0,385628542,2656104
UT,2002,3448772353519,217651,4577320,13801810,0,62700,0,36608003,0
VA,2002,380823813792604,0,8682161988835,43869270,27346163,6633501407922,0,75005651,0
VT,2002,9406,0,11149220,32750,3962616,355599,0,5456190,10372
WA,2002,866080573302,0,781666644532,4719311312638,9048475,1814401126145,0,102765048,416581
WI,2002,39807484422677,0,25150170,20763140,12448813,324466644947,0,58431438,46180
WV,2002,92951316297587,0,10657360,241140174598,0,553151,0,94761751,9023
WY,2002,4192316140104,0,5836150,7130800,0,0,0,43783839,447330
