state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,1997,442702857889,0,10989530,37077340,0,540342166,0,6154847,0
AL,1997,72103318237415,0,115206370,2109618283878,29572670,235933320815,0,119542332,0
AR,1997,2281037073903,0,35157040,2998984265,14208157,108131575404,0,45193600,0
AZ,1997,3447884865681,0,12049393352098,24838100,29314200,81170,0,78825200,0
CA,1997,23319702092192,12716193,410545461013904,710020642984277,30512118,23213053099512,510956,172797595,3136878
CO,1997,3225302015485,0,203181137515,32721720,0,325580,0,37642561,0
CT,1997,41591448508709,0,4466957442,259536451,124722,20964990,0,17674298,0
DC,1997,70661,0,0,0,0,0,0,70661,0
DE,1997,40005841215501,0,0,1828758177792,0,0,0,7222635,0
FL,1997,7093450526159721,0,2412800,3987568456209,22967743,33058302647195,0,168246993,0
GA,1997,67175571931168,0,4279689189519,12161080,30414494,614813353734,0,107625958,0
HI,1997,15747317689140,245390,1153300,65383,0,605809433,0,10312247,16031
IA,1997,2983322590192,0,8049440,4376910,4149111,102719940,0,35418940,118
ID,1997,2746211746,0,146756270,3129880,0,9266461971,0,15589010,0
IL,1997,78121267527922,0,971740,4282604361119,51068818,64154140324,0,135140769,0
IN,1997,110051663763147,0,5615930,12331011995347,0,1240560,0,114728907,0
KS,1997,27235875110763,0,138810,21265110,8430455,0,0,37917485,0
KY,1997,87875331125625,0,33802330,1768570,0,14049,0,91572095,0
LA,1997,210071212286144,0,10359610,405765621088279,13511008,1044243034346,0,82821643,0
MA,1997,1252645611812417,0,1031687488178,136261700,4310431,2011629134716,0,44965328,0
MD,1997,276209251565010,0,15883750,1412585564036,13212967,587592155906,0,46707396,0
ME,1997,6122232485207,0,36479310,34465073,0,5379623041564,0,10333406,0
MI,1997,67444850757653,0,1712464934385,13388312959,21913808,9416321727344,0,106970759,0
MN,1997,28601705837387,0,10346970,7727640,10819172,731551389065,0,43240295,53954
MO,1997,60150280139522,0,1593309114984,5984100,8954604,530440,0,71374185,0
MS,1997,125465342644220,0,0,60541270,10812562,9821620527,0,33678952,0
MT,1997,14616020436632,0,134064940,4861030861,0,48329,0,28586946,0
NC,1997,74072041496509,0,5625884253805,6999360,32453074,785711578818,0,115494689,0
ND,1997,2638995294227,0,33195770,39144317,0,41390,0,29852603,0
NE,1997,1724863731059,0,16724190,2113010,9268857,169940,0,28449267,0
NH,1997,40772251069822,0,16215910,468940,7979448,192804892439,0,15880223,0
NJ,1997,8898206768045,0,18371129523,16987930131982,13908074,11731760,0,41756261,0
NM,1997,2707866022998,0,2588100,40956770,0,62120,0,31462357,0
NV,1997,1525060631945,1596001,25869740,75578140,0,0,0,27031522,0
NY,1997,240587948588376,0,306179951093153,46280916107411,29569618,2107261594430,0,140831648,0
OH,1997,125435419293908,0,5073680,468934189767,15330830,94584928,0,142811248,0
OK,1997,3603282926792,0,292120697108,1368232966790,0,1827229312,0,52863977,0
OR,1997,151966713377,0,467037000,35974690,0,90571488070,0,52412854,0
PA,1997,1155045022705109,0,2249115631044,2654904756189,67654588,1793284747596,0,193463198,0
RI,1997,89050,0,75090,75084040,0,1045900,0,7709553,0
SC,1997,31574374364005,0,2958153855044,2907111141,44915514,675001506659,0,80828058,0
SD,1997,33140686536,0,90122600,1166370,0,0,0,12449501,0
TN,1997,60517697197610,0,11037998672094,35658717555,24647994,60910534376,0,96814073,0
TX,1997,1384911021523836,0,17907500,1515047683705248,37357647,888991371757,212,336319510,81054
UT,1997,3254400346947,168518,13441610,327566281017,0,0,0,34712212,0
VA,1997,341599312770044,0,1020276863791,188004966,27084059,10553931409307,0,68515334,0
VT,1997,11206,0,10674420,930,4266866,334931,0,5680538,0
WA,1997,6990519228589,0,1041705510,2961661290495,6244135,2224831017734,0,122126167,0
WI,1997,41976485410749,0,24832930,14243540,3915871,334682868574,0,51414008,0
WV,1997,89845529189598,0,11387690,216746138004,0,0,0,91528877,0
WY,1997,3949979363481,0,13807130,3855627124,0,0,0,41409562,0
