state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
  ,2003,0,0,0,0,0,0,0,0,0
AK,2003,549664846274,0,15825360,33544820,0,5019758,0,6338732,0
AL,2003,76696391336644,0,126648670,12243598170368,31676953,239753648883,0,137487222,0
AR,2003,23504166288906,0,265461810085,73008610,14689416,947711749117,0,50401101,0
AZ,2003,3809140948677,0,7074984283590,189326410,28581053,448740,395,94396218,0
CA,2003,23263052392249,12981763,36370704912313,914321811759015,35593789,22542813880037,533606,192788542,3895431
CO,2003,3611562333994,0,1262197203640,92260334001,0,314700,0,46616787,147109
CT,2003,42002972062669,0,56441618,50616130,16078095,7858610,0,29545050,0
DC,2003,74144,0,0,0,0,0,0,74144,0
DE,2003,40264961716864,0,0,1463780185147,0,0,0,7392287,0
FL,2003,6767458037204570,0,2626670,6829341910505,30979481,22636952210394,0,212610011,0
GA,2003,786384891194059,0,4140270636093,42769910,33256649,1339213039353,0,124076834,0
HI,2003,16441378502550,178292,905050,40251,0,3471670,0,10976371,1572
IA,2003,35819945101336,0,7885930,3128960,3987657,1141700,0,42116192,981970
ID,2003,90290116,0,83540340,13748200,0,540953,0,10422935,0
IL,2003,879813491120917,0,1385000,3902463203627,94733036,8009270,0,189055260,18024
IN,2003,117756284455287,0,4239530,30494352592257,0,1191380,0,124888217,0
KS,2003,35109616964132,0,124350,12257700,8889667,0,0,46567560,365939
KY,2003,840605402944911,0,39480520,4444050,0,764298476,0,91718820,0
LA,2003,228889302937948,0,8919910,454341982687230,16126322,646613013642,0,94885040,0
MA,2003,108964907459038,0,1075182510929,224239310,4977955,1133589119534,0,48385024,0
MD,2003,299390863572183,0,26469840,1195642325355,13690713,370811225240,0,52244237,0
ME,2003,3765321919549,0,31726220,943870434,0,2981053287905,0,18971635,0
MI,2003,677774831063893,0,13858231017246,113745442193,27953563,7273141767721,0,111347060,2660
MN,2003,35655529873064,0,8145730,18444360,13413828,486316656555,0,55050995,977760
MO,2003,74211784156914,0,652477253991,26243501652,9699589,8297179,0,87225087,0
MS,2003,170826041631855,0,0,947723331799,10902456,70791015096,0,40148278,0
MT,2003,17048635402164,0,87017720,2546819520,0,71168,0,26268726,0
NC,2003,74776231783695,0,7200943119273,158036617,40906900,1140531861663,0,127582319,0
ND,2003,2942731151892,0,17239040,944650096,0,6020,0,31322129,58878
NE,2003,2095417348852,0,9801100,381078206,7996902,564420,0,30455984,38221
NH,2003,39233032044527,0,13312690,41654650,9276288,158520637376,0,21597107,0
NJ,2003,97895631541553,0,38891119882,14775577255374,29709201,9067710,0,57399351,0
NM,2003,2881284450669,0,1706990,35187050,0,0,0,32735653,182735
NV,2003,1708595916793,1065711,17567050,1325277916941,0,0,0,33194888,0
NY,2003,2358106719291600,0,24268660911806,281563480,40679205,1282723411576,0,137643316,41201
OH,2003,134769137410153,0,5108350,1793584212523,8475016,33300407417,0,146638128,0
OK,2003,36676326161210,0,1798412206187,2182269645408,0,267123,0,60626856,54470
OR,2003,430484844096,0,332503320,102436960,0,85066553914,0,48966139,443617
PA,2003,1160098744535336,0,3346267738994,5518536508176,74360862,1250668735429,0,206349513,111521
RI,2003,58359,0,60210,54549970,0,1017680,0,5621145,0
SC,2003,37432023456871,0,36654261206813,166278273,50417690,516871244262,0,93772677,0
SD,2003,343120316058,0,42763030,1760240,0,0,0,7943837,44249
TN,2003,54921298405810,0,12003646728649,6269872834,24152580,58921766982,0,92221791,3933
TX,2003,1469895102515255,0,8965390,1849113505999490,33437484,3597241036160,0,379199685,2569853
UT,2003,3597864832866,198465,4213390,13831070,0,50830,0,38023666,0
VA,2003,370933315780336,0,17815691498159,46190662959,24816022,6738141587545,0,75309420,0
VT,2003,22607,0,11540380,20290,4444152,394307,0,6027962,10829
WA,2003,1108979666591,0,717567833293,7082605303188,7614708,1818981342733,0,100094691,603674
WI,2003,41717216472788,0,18432950,24783900,12215463,370701757443,0,60122425,97580
WV,2003,92468983247898,0,13560310,277837169782,0,4051157,0,94711554,169762
WY,2003,4234145244921,0,5935550,2801960,0,0,0,43626602,366478
