state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2001,564593936989,0,13456650,38955690,0,0,0,6743766,950
AL,2001,72198114434549,0,83563820,9612682189147,30357063,171074172257,0,125345113,0
AR,2001,24764471879393,0,25482500,27069000,14780789,73031504694,0,47192035,0
AZ,2001,40061494314206,0,7623565276294,128722000,28724076,389480,489,89911272,0
CA,2001,22328513054893,12181294,25541776349689,1119322711130499,33219520,20825363323777,542271,198596075,3499738
CO,2001,35951028176229,0,1494697250582,93917870,0,642030,0,46876002,48640
CT,2001,37357825172935,0,2863730,40882281498,15427767,9089240,0,30490646,0
DC,2001,123239,0,0,0,0,0,0,123239,0
DE,2001,33685071706629,0,0,1575486157062,0,0,0,6807684,0
FL,2001,6822773840579939,0,1477180,43569805634,31583404,19615211828236,0,190945344,0
GA,2001,745611811170539,0,2596427569710,38658730,33681769,284202974334,0,118316789,0
HI,2001,16047648223824,206592,1007500,37855,0,2877080,0,10633093,2122
IA,2001,34665095102628,0,8451540,5928520,3852722,1037480,0,40658512,487864
ID,2001,722843723,0,72231260,14052860,0,533335,0,9346941,0
IL,2001,795506371506005,0,1440270,4606293355776,92358477,6785690,0,179249285,0
IN,2001,116066512491482,0,5706920,23316602978809,0,1145800,0,122569673,0
KS,2001,31768001617177,0,255620,19513000,10346651,0,0,44748523,39832
KY,2001,90798578123560,0,38555080,6304270,0,9553,0,95417626,0
LA,2001,219681463449939,0,7322170,40372754440544,17336135,636362640653,0,87894377,0
MA,2001,110513338511572,0,702505711349,116970040,5144033,1183018129769,0,38478434,0
MD,2001,283794093021639,0,11835180,1760812439980,13656267,36107611939,0,49062340,0
ME,2001,5284122101522,0,26451230,100529490,0,2955853530140,0,19564821,0
MI,2001,68263164749887,0,15619231126837,131735115614,26710782,6611211700262,0,111845610,280
MN,2001,31819163625056,0,8316180,11995770,11789027,505384574711,0,48523226,897018
MO,2001,65748683637685,0,1104135265860,38735620,8384240,87980,0,79544873,0
MS,2001,191960655143690,0,0,177505520,9923882,11432116,0,53446452,0
MT,2001,17035883497614,0,66134740,200890,0,65425,0,24232485,0
NC,2001,72957767655744,0,25957050,1534355991,37775025,1089611642329,0,117495850,0
ND,2001,2887717547886,0,13320760,253664734,0,76650,0,30332072,0
NE,2001,2023870628189,0,11241220,3487310,8726113,166630,0,30485212,2630
NH,2001,3706399481677,0,9905790,1185260,8692743,166854858767,0,15074624,0
NJ,2001,93190401296625,0,18002141740,16708201448885,30469230,8436320,0,59421260,0
NM,2001,2840218766212,0,2373200,48872720,0,186520,0,33611643,0
NV,2001,17736970911628,1199873,25137220,115137730,0,0,0,33875966,0
NY,2001,2343192216512093,0,23083955930520,38697215114537,40394985,1277849502684,0,143914559,20539
OH,2001,124213236416698,0,5107850,924416301949,15463762,27888403073,0,142261807,0
OK,2001,34615768175175,0,2344690128479,1794380867792,0,230696,0,55249450,0
OR,2001,4445053102223,0,286445520,109829650,0,49823701118,0,45051906,88587
PA,2001,1119004483562587,0,1650004615450,3036297613137,73730797,1288285596736,0,196576591,11175
RI,2001,70003,0,31430,73251300,0,1036160,0,7501892,0
SC,2001,36699004308105,0,12254431035722,1176114198,49869998,28045866109,0,89158987,0
SD,2001,361168051524,0,34318650,3048030,0,0,0,7400743,871
TN,2001,59730032400064,0,6946529733724,45550318496,28576431,42598779427,0,96221976,0
TX,2001,1350999212803403,0,12003320,1901109811574325,38162863,95829897611,5,372580002,1187510
UT,2001,3367930857576,152742,5084050,14460770,0,54960,0,35853750,0
VA,2001,377699115461613,0,10142242240077,41960710,25759130,5989691148103,0,74104750,0
VT,2001,31740,0,8842130,110000,4171120,370408,0,5480614,12133
WA,2001,9082358320359,0,547338950,93742450,8250429,1562361065095,0,83048669,0
WI,2001,41253456447783,0,20562440,22339650,11507078,324576705350,0,58763431,72284
WV,2001,80214404278676,0,9519430,27586589500,0,143291198,0,81836725,0
WY,2001,4278931036096,0,8791110,5918427511,0,0,0,44776938,365159
