state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2000,538673640201,0,10018190,39758320,0,0,0,6156525,0
AL,2000,77517714366155,0,58176310,5028211230143,31368563,290124047153,0,124405340,0
AR,2000,24167699221728,0,23704830,38625090,11651772,74551586581,0,43875766,0
AZ,2000,40993129190323,0,8354216288956,87347990,30380571,45830,0,88946577,0
CA,2000,23636072839794,12308471,38333786937940,1032189732687177,35175505,26103323573501,493334,208082483,3518023
CO,2000,35381219109385,0,145441545175,71574380,0,179140,0,44165546,0
CT,2000,31860966679032,0,5263124368,40620290,16365334,21531350,0,32967570,0
DC,2000,144374,0,0,0,0,0,0,144374,0
DE,2000,4112296849040,0,0,840508166769,0,188380,0,5987451,0
FL,2000,7274182935743030,0,867690,4320286723471,32291345,36313132059033,0,191815840,0
GA,2000,801004501620653,0,2480797154828,42510770,32472935,893403015459,0,123877413,0
HI,2000,15785858051782,262053,1034580,42173,0,5383490,0,10593403,17003
IA,2000,35067093101877,0,9040100,4337640,4452884,885620,0,41542010,493820
ID,2000,706756948,0,109666950,2990530,0,483258,0,11910442,0
IL,2000,82322832633020,0,1438280,4665563384398,89438049,9083910,0,178496081,0
IN,2000,121477884969521,0,5882760,20546162599337,0,1298820,0,127819516,0
KS,2000,32507051421372,0,153320,28113160,9060834,0,0,44815905,0
KY,2000,90063054144693,0,23245680,461365110,0,12293,0,93006083,0
LA,2000,234888642076360,0,5322900,461292431598632,15795739,948832697569,0,92865635,0
MA,2000,111542728762669,0,1065159700364,107070720,5512255,2074711122107,0,38697881,0
MD,2000,294510652388595,0,17326190,285287674572,13827243,638830179580,0,51145380,0
ME,2000,6497482797329,0,35908150,30444400,0,5808703240998,0,14047947,0
MI,2000,682669991189263,0,14276791053698,126072640,18882432,10987851790809,0,104209594,0
MN,2000,33748088474777,0,9313830,12650210,12959976,797222522348,0,51423339,724524
MO,2000,62903557252718,0,599920192095,29551410,9991845,828530,0,76593939,0
MS,2000,138770652981530,0,0,83811090,10694555,2181680086,0,37614563,0
MT,2000,16200839519891,0,96232570,2660734311,0,46923,0,26451828,0
NC,2000,75945463825831,0,3137816108102,11302530,39126881,1093761664191,0,122274356,0
ND,2000,2906920360957,0,21225610,208748413,0,79750,0,31311196,0
NE,2000,1845793354659,0,15007240,4513540,8628679,165140,0,29109863,0
NH,2000,3965476471328,0,14272140,1389430,7921880,244270862388,0,15031499,0
NJ,2000,100901151085276,0,14036140628,16509249584734,28578119,13643140,0,58085215,0
NM,2000,2906595488111,0,2211520,46383390,0,84640,0,34022020,0
NV,2000,1893152164794,1370791,24294680,126671890,0,0,0,35484915,0
NY,2000,2500958114945179,0,24909572990437,3972870986201,31507988,2231612640325,0,138079075,10345
OH,2000,129578544354412,0,5830480,825154290353,16781378,26849620542,0,149060280,0
OK,2000,3565801252920,0,2276933127287,1750257660616,0,2431145756,0,55571957,0
OR,2000,380276068212,0,381156300,91000170,0,95300541357,0,51789975,66699
PA,2000,1162125613748155,0,2290232410596,2699072597995,73771347,2028662691988,0,201687980,9813
RI,2000,59625,0,48670,57918140,0,1152390,0,5971545,0
SC,2000,39208376445157,0,15334901082006,932902888,50887700,686811351052,0,93346240,0
SD,2000,367057652214,0,57155080,2590390,0,0,0,9697337,0
TN,2000,62219510562170,0,6396209731451,64877113833,25824858,38805760844,0,95838584,0
TX,2000,1406719642815642,0,8289630,1887332953798047,37555807,1261741152246,41,377742365,492146
UT,2000,3449142457971,151843,7461254516,890228257857,0,91100,0,36609074,0
VA,2000,397613162938544,0,7119831340991,46533270,28321091,4669311677169,0,77189370,0
VT,2000,60880,0,12210900,9079022417,4548065,347523,0,6303014,12249
WA,2000,9444564484512,0,802628890,7700226247892,8605232,2506671240898,0,108236880,0
WI,2000,42302943447437,0,19856345200,22374750,11512078,310032840890,0,59644417,2728
WV,2000,91202309262753,0,11509030,13951995064,0,144320,0,92865176,0
WY,2000,4357410838166,0,10110350,5391369353,0,0,0,45494280,245911
