state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2007,6414091009990,0,12912230,38675390,0,1019622,0,6821392,1012
AL,2007,77993760156922,0,41361140,23231776178368,34325127,167383783882,0,143826271,0
AR,2007,2574418094153,0,323675329604,83642510,15486102,429411580803,0,54596236,0
AZ,2007,4127536249276,0,6597671125411,384692210,26782391,329900,8649,113340970,0
CA,2007,22983062333974,12990711,27327751309779,1157004701818106,35792490,23052283407416,556969,210847581,5584933
CO,2007,3593573928450,0,1729533168061,150139011911,0,311050,2208,53907492,1291516
CT,2007,37387231311259,0,36326115355,99295592196,16386142,7281641676,0,33171209,0
DC,2007,75251,0,0,0,0,0,0,75251,0
DE,2007,5621822241136,0,0,1901984721105,0,481160,0,8534163,0
FL,2007,6790811520202867,0,1544460,10030718315162,29289289,23730191929798,0,225416060,0
GA,2007,90297529788227,0,2236188321649,160789440,32544998,533243362097,0,145155158,0
HI,2007,15789318914207,229886,923430,45226,0,2852770,0,11533350,238184
IA,2007,37985566311915,0,9623460,30908790,4518875,15108416,0,49789217,2756676
ID,2007,83564134,0,90216900,16572550,0,480582,0,11484091,172267
IL,2007,95264914131667,0,1537270,7541527134271,95728845,6203250,0,200260681,664427
IN,2007,122802897169977,0,4499360,40118242591406,0,2312470,0,130637999,0
KS,2007,36250263207149,0,105010,21326090,10369136,0,0,50122196,1152538
KY,2007,904830592791299,0,16685870,17963374745,0,95413370210,0,97225319,0
LA,2007,230511832250633,0,8266420,439150151810997,17077572,815122898371,0,92578329,0
MA,2007,120243473051604,0,797482830547,249250430,5119789,1121067119157,0,47075975,0
MD,2007,29699186984831,0,16522160,2240927377560,14353192,400364203097,0,50197924,0
ME,2007,375577818377,0,37381680,66745940,0,2603433847566,0,16128567,99071
MI,2007,70810599698525,0,12699891129241,13140984282414,31516953,7218221692202,0,119309936,2723
MN,2007,32190373404599,0,6538220,384247725844,13103000,566371727455,0,54477646,2638812
MO,2007,7508415460401,0,1204326383473,49793793400,9371955,29189120,0,91153081,0
MS,2007,17407325399370,0,0,2133517342325,9358784,50171488348,0,50043686,0
MT,2007,18356775478677,0,93643360,10597419011,0,110945,0,28931493,495776
NC,2007,79983038495689,0,2984159136996,44566430,40044705,868451585374,0,130115301,0
ND,2007,2916355350818,0,13053930,1657452515,0,135070,0,31224105,620772
NE,2007,1962991135767,0,3474440,11100200,11041532,612590,0,32442699,216765
NH,2007,3927415384795,0,12652290,57540150,10763884,152816970456,0,23277171,0
NJ,2007,10210670452771,0,20909268934,18752332160549,32010376,8231660,0,62671245,20412
NM,2007,2760364744471,0,2679780,66600040,0,159940,0,35985333,1393239
NV,2007,709091111450,1252691,20031910,222632704256,0,0,43967,32669736,0
NY,2007,214055428195109,0,25252555768380,456336310,42452854,1449346492261,0,145878687,833476
OH,2007,1331306791147746,0,4104360,3974897289273,15764049,21017399378,0,155155545,14748
OK,2007,34437937160488,0,3065862165844,3314391122474,0,3721276133,0,72819095,1849144
OR,2007,435162414287,0,335874390,148576680,0,138733842565,0,55077794,1246994
PA,2007,1226930941484074,0,2235982722855,19197600533986,77376316,1456611619567,0,226088340,470018
RI,2007,33951,0,43640,68567720,0,1547570,0,7049844,0
SC,2007,41582670217287,0,15559121210614,596455815,53199914,1006021895432,0,103402142,0
SD,2007,265533462902,0,29172830,3510420,0,0,0,6136605,150018
TN,2007,60237330232098,0,4939601704364,72183813488,28700371,52480868110,0,95113409,49937
TX,2007,1472788891308904,0,16444370,1995312813601211,40955030,367065914164,0,405492296,9006383
UT,2007,3717079439147,163925,5387820,74242180,0,310300,0,45372575,0
VA,2007,354207462096949,0,12482641620283,109038400,27268475,7732451792326,0,78360507,0
VT,2007,7811,0,6466050,18890,4703728,453038,0,5823582,10511
WA,2007,855681637042,0,7882919544512,7287394333773,8108560,1763511116380,0,106990217,2437823
WI,2007,400282501013414,0,15160830,64887500,12910319,435156785079,0,63390630,109283
WV,2007,91866265199919,0,12543970,38879455676,0,0,0,93933109,167588
WY,2007,4312680947222,0,7294240,594026312091,0,0,0,45633486,754881
