state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2011,656385944998,0,13447460,39064332738,0,32870,0,6871033,12446
AL,2011,56807353120384,0,88835980,47681054291534,39356122,98982806764,0,156339210,0
AR,2011,2941819555874,0,295784534431,129466820,14194445,810081586637,0,61307536,0
AZ,2011,4370229753245,0,9174092121019,232527000,31277863,46834143626,83349,108125357,255579
CA,2011,1982182910572,12552383,4255746788793,889738311666987,36663247,25846933444683,888829,200804842,7751837
CO,2011,3395468722218,0,2082621243379,101863030,0,61520172,104636,51432554,5200322
CT,2011,525807165810,0,5674425604,151881450,15927837,658873836,0,33745221,0
DC,2011,129675,0,0,711990,0,0,0,200874,0
DE,2011,145499637739,0,0,4731369208254,0,1447320,8280,6590195,4825
FL,2011,519909613280944,0,1820420,1363638746191,22015368,23349852209433,125726,221894574,0
GA,2011,60159340551288,0,2705058733517,265436040,32306181,1192633070257,0,124749341,0
HI,2011,14240367923925,223888,931410,35250,0,3126270,3593,10723333,340812
IA,2011,38229360141020,0,9253520,9911830,5215229,1605920,0,56371913,10709177
ID,2011,8341226,63490,134047990,11107440,0,47618474384,0,16568786,1306682
IL,2011,9001332584240,0,1404620,5955800318549,95823196,637580519,14062,199499728,6213132
IN,2011,1041525981332630,0,4087790,100639682183387,0,3355880,0,122131414,3285411
KS,2011,3165584956539,0,147450,25350870,7318888,587530,0,45359840,3719979
KY,2011,916560301734950,0,29693120,15455050,0,94958341272,0,98350982,0
LA,2011,246275194707477,0,10440190,543224641292182,16614975,710932371437,0,105490737,0
MA,2011,4058807196503,0,1148762440231,259396720,5085220,1039130101295,4764,38054821,61385
MD,2011,21058936228967,0,25471230,2310660154640,14397437,379890168432,2706,41818068,270713
ME,2011,55166177565,0,39789780,68768310,0,2766373511418,0,15973688,706640
MI,2011,58948269342769,0,1357308945017,12982054269175,32889467,8272441678607,0,109169507,456474
MN,2011,2825862637907,0,7461480,33507730,11958525,932205748211,0,53120061,6725695
MO,2011,7831585079804,0,1185144114254,45482300,9371323,6214746,0,94876397,1178212
MS,2011,972311136341,0,0,299656090,10336789,32971502779,0,51570943,0
MT,2011,15055722460626,0,125958810,41819320,0,0,0,30128543,1265168
NC,2011,59758357217636,0,38933960,111552110,40526834,3752131952891,17380,118389855,0
ND,2011,2710892642119,0,25800420,1990239160,0,98620,0,35079900,5235590
NE,2011,2596524337207,0,16172280,4258950,6933174,654200,0,36095051,1050885
NH,2011,220820377506,0,16048110,66575690,8362807,108059917072,0,20065941,66092
NJ,2011,4155097165588,0,24407196778,25201075139175,33606447,8761110,68878,64694096,10523
NM,2011,2714086337801,0,1947660,85659840,0,94260,127802,38181139,2104497
NV,2011,540730414213,2146119,21905830,218413977261,0,0,291225,31935918,0
NY,2011,94261601189481,0,27996988433021,508047550,42695009,1619149442128,6443,137480347,2828069
OH,2011,1053369571388432,0,3836550,12337577303743,14889746,331756389998,15495,135585804,198443
OK,2011,3447894715548,0,1506941153195,328367000,0,87242226725,0,74605714,5605265
OR,2011,33335167954,0,423148210,84977300,0,222255492099,90,59695164,4775374
PA,2011,100603082441724,0,3217216493760,41792165616163,76146617,1653446627935,23144,227314722,1794465
RI,2011,13640,0,74110,85709040,0,1274050,0,8722273,2912
SC,2011,34168549111558,0,1554181890143,129363430,52902576,1410941988074,0,102972567,0
SD,2011,25855657543,0,66081640,1293130,0,0,0,11998886,2668300
TN,2011,40777224195262,0,9575639660367,325935916689,26919177,36180930454,0,81103862,53143
TX,2011,157896535976805,0,5630540,2005001493389840,39648457,678127928281,28639,435476924,30548087
UT,2011,3313766353949,330188,12301650,525604632638,0,580070,0,40836150,572790
VA,2011,19881113502646,0,12103891469539,183323730,25547997,7896381406003,0,66670859,0
VT,2011,8158,0,14247330,32770,4907355,25448372248,1815,6776219,33185
WA,2011,522858537147,0,9181770251916,4849507297208,4806278,1688721582250,840,115262601,6262380
WI,2011,39937737582359,0,21469100,62433360,11559781,5454131031868,0,63289344,1187730
WV,2011,75964107188481,0,14531090,25146530478,0,9191235,0,78999624,1102512
WY,2011,4096144955450,0,12237300,458930264937,0,0,0,47638471,4611868
