state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2016,594139831330,0,16591520,30404870,0,430170,0,6335034,169301
AL,2016,3425840645832,0,69848030,5780361824053,39901879,381103297136,31261,142385098,0
AR,2016,2380007042363,0,356998638824,181711870,13421022,1127071257121,26142,60445059,0
AZ,2016,3040339251595,0,716776358630,341828080,32377477,38242176136,3765825,108763449,541582
CA,2016,318876175581,11457299,28942121259349,970736641426816,18907578,29099303029285,18806711,196963215,13509039
CO,2016,299486756975,0,1902571294186,126794390,0,7648385822,538109,54418480,9421204
CT,2016,17737091735,0,2241455587,179515030,16575492,618838237232,24518,36496560,12742
DC,2016,1001,0,0,227020,0,527710,0,76474,0
DE,2016,47935062571,0,0,7787469277477,0,679870,51086,8731261,5321
FL,2016,394294682820303,0,1745510,1584954454716,29320022,26712821971856,223983,238262150,0
GA,2016,37890474211845,0,3372677993024,528624640,34480662,2708874302529,880923,133380416,0
HI,2016,14973806640316,260102,908490,51006,0,3594660,88511,9948845,639127
IA,2016,25198347277773,0,9167890,29609470,4702665,2506701045,151,54392507,20071999
ID,2016,29188183,71995,90332720,33214620,0,118428413145,29801,15660938,2578415
IL,2016,5933780269503,0,1328340,17484691204153,98607038,4670120,48810,187289131,10663434
IN,2016,72533080610407,0,4262650,199956592272492,0,4327900,225841,101759059,4899474
KS,2016,2309606428324,0,305380,20272070,8246042,588320,2102,47599991,14110881
KY,2016,668220581218601,0,34779300,82283340,0,104776360119,11732,80273501,0
LA,2016,120136494819225,0,11030230,664791422099070,17151826,873342788939,0,107268804,0
MA,2016,1874932422281,0,712516500450,211439360,5414318,1075330128822,609281,31955022,216123
MD,2016,13826213160550,0,13921870,54230460,14760177,422029123653,208657,37166687,527114
ME,2016,69823109924,0,29996880,34983400,0,1849262603245,0,11514427,1667103
MI,2016,40526872818979,0,1564355751650,292951541614622,31551710,9725961522489,9235,112121790,4695783
MN,2016,2320628932027,0,12085020,89280760,13860816,6743211217697,10107,59478753,9933487
MO,2016,6032189078016,0,1268473179201,60315680,9430179,9147647163,32684,78611513,1121883
MS,2016,534202617785,0,0,500947390,5897272,114191512781,0,62881295,0
MT,2016,14269222459923,0,100825290,4760618586,0,20150,0,27783529,2140191
NC,2016,37435780251193,0,44171860,392511020,42786087,5958651960045,3421128,130779157,6233
ND,2016,2658035030109,0,19120050,107110740246,0,56060,0,37856452,8171922
NE,2016,2189771517940,0,8564080,5379100,9350591,978170,3981,36524869,3798387
NH,2016,42201738798,0,11453860,47444360,10761163,1249401564428,0,19282493,432324
NJ,2016,1314541146126,0,9478204013,43807453207168,29885187,9827780,834879,77611403,20841
NM,2016,1836527051683,14218,1479720,99575530,0,178130,751836,32912045,3605421
NV,2016,216683110985,3353399,17892190,28921612742,0,552640,3124060,39787005,343865
NY,2016,1770238642952,0,26888234470932,567933360,41570990,1604650638859,139611,134417107,3940180
OH,2016,687751641181253,0,5003200,28942397720996,16817386,450016272084,65558,118922078,1245337
OK,2016,1915804417261,0,257342487429,365290860,0,119090243316,5436,78655007,20069089
OR,2016,18982024850,183700,345493660,153066610,0,359105641447,40936,60182013,7157128
PA,2016,54672030363224,0,2374519561836,68048646487625,82924011,1883317508115,74805,215066509,3476246
RI,2016,26283,0,21280,62905030,0,2047760,14663,6564885,26532
SC,2016,21002914113862,0,2226074976600,163668540,55825916,1797612196593,4971,96985764,0
SD,2016,20826802793,0,48055260,9185610,0,0,364,11524184,3714259
TN,2016,31167634121581,0,6774061703946,1131851515388,29578086,90737842630,78617,79340633,37747
TX,2016,121230932196422,0,13420050,2259762602513744,42079445,735042947653,730810,454047591,57530784
US-Total,2016,123914865424204806,15825807,2678121536686127,137830693412807432,805693948,2181323140947227,36054121,4076674984,226992562
UT,2016,2593944331552,485094,7595420,869132054099,0,840840,1053661,38133928,822282
VA,2016,16499412535420,0,14714621162636,409048430,29731895,11058052985941,20908,92554876,0
VT,2016,4017,0,10775170,19650,0,15631461864,59031,1911207,291182
WA,2016,460172622018,0,783458092318,10982195401642,9625622,2993221708240,727,114086582,8041847
WI,2016,33362841147111,0,27952580,154727590,10151394,590152879648,2671,64966611,1515261
WV,2016,71512961122669,0,16382470,122456724651,0,0,0,75942968,1432154
WY,2016,4002687455636,0,9734880,788143358138,0,0,0,46656630,4389338
